chunk_id,rows_checked,first_entity_id,last_entity_id,first_trade_date,last_trade_date,labeled_count,insufficient_future_price_count,cross_cutoff_censored_count,excluded_count,violation_count_total
1,250000,industry:IT服务Ⅱ,industry:专业连锁Ⅱ,2014-01-02,2015-09-14,249376,624,0,0,0
2,250000,industry:专业连锁Ⅱ,industry:乘用车,2015-09-15,2017-06-02,249376,624,0,0,0
3,250000,industry:乘用车,industry:元件,2017-06-05,2019-02-21,249376,624,0,0,0
4,250000,industry:元件,industry:其他电源设备Ⅱ,2019-02-22,2020-11-06,249376,624,0,0,0
5,250000,industry:其他电源设备Ⅱ,industry:农化制品,2020-11-09,2022-07-25,249376,624,0,0,0
6,250000,industry:农化制品,industry:包装印刷,2022-07-26,2014-07-18,249220,780,0,0,0
7,250000,industry:包装印刷,industry:化学原料,2014-07-21,2016-04-01,249376,624,0,0,0
8,250000,industry:化学原料,industry:医药商业,2016-04-05,2017-12-13,249376,624,0,0,0
9,250000,industry:医药商业,industry:国有大型银行Ⅱ,2017-12-14,2019-08-28,249376,624,0,0,0
10,250000,industry:国有大型银行Ⅱ,industry:塑料,2019-08-29,2021-05-20,249376,624,0,0,0
11,250000,industry:塑料,industry:小家电,2021-05-21,2023-02-07,249376,624,0,0,0
12,250000,industry:小家电,industry:工程机械,2023-02-08,2024-10-25,249376,624,0,0,0
13,250000,industry:工程机械,industry:房屋建设Ⅱ,2024-10-28,2014-02-11,249220,780,0,0,0
14,250000,industry:房屋建设Ⅱ,industry:文娱用品,2014-02-12,2015-10-26,249376,624,0,0,0
15,250000,industry:文娱用品,industry:橡胶,2015-10-27,2017-07-07,249376,624,0,0,0
16,250000,industry:橡胶,industry:油服工程,2017-07-10,2019-03-22,249376,624,0,0,0
17,250000,industry:油服工程,industry:炼化及贸易,2019-03-25,2020-12-09,249376,624,0,0,0
18,250000,industry:炼化及贸易,industry:燃气Ⅱ,2020-12-10,2022-08-25,249376,624,0,0,0
19,250000,industry:燃气Ⅱ,industry:环境治理,2022-08-26,2024-05-20,249376,624,0,0,0
20,250000,industry:环境治理,industry:电子化学品Ⅱ,2024-05-21,2026-01-30,249376,624,0,0,0
21,250000,industry:电子化学品Ⅱ,industry:白色家电,2026-02-02,2015-05-18,249220,780,0,0,0
22,250000,industry:白色家电,industry:综合Ⅱ,2015-05-19,2017-01-25,249376,624,0,0,0
23,250000,industry:综合Ⅱ,industry:航天装备Ⅱ,2017-01-26,2018-10-15,249376,624,0,0,0
24,250000,industry:航天装备Ⅱ,industry:航运港口,2018-10-16,2020-07-01,249376,624,0,0,0
25,250000,industry:航运港口,industry:证券Ⅱ,2020-07-02,2022-03-17,249376,624,0,0,0
26,250000,industry:证券Ⅱ,industry:轨交设备Ⅱ,2022-03-18,2023-12-01,249376,624,0,0,0
27,250000,industry:轨交设备Ⅱ,industry:通用设备,2023-12-04,2025-08-20,249376,624,0,0,0
28,250000,industry:通用设备,industry:非白酒,2025-08-21,2014-12-03,249220,780,0,0,0
29,250000,industry:非白酒,industry:饮料乳品,2014-12-04,2017-06-16,249376,624,0,0,0
30,224840,industry:饮料乳品,industry:黑色家电,2017-06-19,2026-06-09,224216,624,0,0,0
